address,category,protocol
0x5769071665eb8db80e7e9226f92336bb2897dcfa,DEX,fraxswap
0x832c6f546bf34a552deb8773216a93bf6801028c,DEX,fraxswap
0x5e8c1ad4c3d04f059d5c1a2ce4593e53be270bca,DEX,fraxswap
0x794e6e91555438afc3ccf1c5076a74f42133d08d,DEX,Oasis
0x13cc34aa8037f722405285ad2c82fe570bfa2bdc,DEX,saddle
0xe5859f4efc09027a9b718781dcb2c6910cac6e91,DEX,smoothy
0xc3d03e4f041fd4cd388c549ee2a29a9e5075882f,DEX,SushiSwap
0x34d7d7aaf50ad4944b70b320acb24c95fa2def7c,DEX,SushiSwap
0x7ee7ca6e75de79e618e88bdf80d0b1db136b22d0,DEX,switcheo exchange V2
0x1116898dda4015ed8ddefb84b6e8bc24528af2d8,DEX,synapse stableswap
0xd37bbe5744d730a1d98d8dc97c42f0ca46ad7146,DEX,Thorchain Router
0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,DEX,Uniswap v2
0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd,DEX,Uniswap v2
0xae461ca67b15dc8dc81ce7615e0320da1a9ab8d5,DEX,Uniswap v2
0x5777d92f208679db4b9778590fa3cab3ac9e2168,DEX,Uniswap v3
0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,DEX,Uniswap v3
0x6c6bc977e13df9b0de53b251522280bb72383700,DEX,Uniswap v3
0x561b94454b65614ae3db0897b74303f4acf7cc75,DEX,zeroex
0x7a6f6a048fe2dc1397aba0bf7879d3eacf371c53,DEX,zeroex
0xa2033d6ba88756ce6a87584d69dc87bda9a4f889,DEX,zeroex
0x1601843c5e9bc251a3272907010afa41fa18347e,Spark,Spark Liquidity Layer
0x3c0f895007ca717aa01c8693e59df1e8c3777feb,SSR,sky
0x09aa30b182488f769a9824f15e6ce58591da4781,Lending,Aave V3: aEthLidoUSDS
0xc21d353ff4ee73c572425697f4f5aad2109fe35b,Lending,Alchemix
0x3dfd23a6c5e8bbcfc9581d2e864a68feb6a076d3,Lending,Aave V1
0x028171bca77440897b824ca71d1c56cac55b68a3,Lending,Aave V2
0xe6343ad0675c9b8d3f32679ae6adba0766a2ab4c,Lending,Bond Protocol
0x9d39a5de30e57443bff2a8307a4256c8797a3497,Lending,Ethena USDe Staking
0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,Lending,Compound
0x8e595470ed749b85c6f7669de83eae304c2ec68f,Lending,Cream
0x1e0447b19bb6ecfdae1e4ae1694b0c3659614e4e,Lending,DyDx
0x3fe7940616e5bc47b0775a0dccf6237893353bb4,Lending,Idle Cash
0x7e62b7e279dfc78deb656e34d6a435cc08a44666,Lending,Maker USDP Vault
0xa191e578a6736167326d05c119ce0c90849e84b7,Lending,Maker USDC Vault
0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,Lending,Morpho
0x9abd0b8868546105f6f48298eadc1d9c82f7f683,Lending,Notional Finance: Escrow
0x90f1935f733dd8826dca2bd01ccfc600f20e978e,Lending,Pendle SY-SDAI
0x508defdb5dd2adeefe36f58fdcd75d6efa36697b,Lending,Pendle SY-USDS
0x473693ecdad05f5002ff5f63880cfa5901fb50e8,Lending,Radiant Capital: sDAI
0x61691c4181f876dd7e19d6742b367b48aa280ed3,Lending,Reserve: hyUSD Backing
0xa3931d71877c0e7a3148cb7eb4463524fec27fbd,Lending,Savings sUSDs
